Unnamed: 0,ItemType,Number,Ingredient1ID,Ingredient1Amount,Ingredient2ID,Ingredient2Amount,Ingredient3ID,Ingredient3Amount,ResultID,ResultAmount,Duration,Method
RCP001,EQUIPMENT,1,MA002,1,MA001,1,MA003,1,EQ003,1,1,Inventory
RCP002,EQUIPMENT,2,MA002,2,MA001,1,MA003,1,EQ004,1,1,Inventory
RCP003,EQUIPMENT,3,MA002,1,MA001,2,MA003,1,EQ005,1,1,Inventory
RCP004,EQUIPMENT,4,MA007,1,MA001,1,MA003,1,EQ006,1,1,Inventory
RCP005,EQUIPMENT,5,MA001,10,,,,,MA006,1,1,Inventory
RCP006,EQUIPMENT,6,MA004,10,,,,,MA009,1,1,Inventory
RCP007,EQUIPMENT,7,FO101,1,MA008,1,,,FO102,1,1,Inventory
RCP008,Building,1,MA006,2,,,,,BU007,1,1,Inventory
RCP009,Building,2,MA001,4,MA007,1,,,BU006,1,1,Inventory
RCP010,Food,1,FO001,1,FO002,1,FQ003,1,FO006,1,3,Inventory
RCP011,Food,2,FO003,1,FO004,1,FO005,1,FO007,1,3,Fire
RCP012,Food,3,FO008,1,,,,,FO009,1,3,Fire
RCP013,,,,,,,,,,,,
RCP014,,,,,,,,,,,,
RCP015,,,,,,,,,,,,
RCP016,,,,,,,,,,,,
RCP017,,,,,,,,,,,,
RCP018,,,,,,,,,,,,
RCP019,,,,,,,,,,,,
RCP020,,,,,,,,,,,,
RCP021,,,,,,,,,,,,
RCP022,,,,,,,,,,,,
RCP023,,,,,,,,,,,,
RCP024,,,,,,,,,,,,
RCP025,,,,,,,,,,,,
RCP026,,,,,,,,,,,,
RCP027,,,,,,,,,,,,
RCP028,,,,,,,,,,,,
RCP029,,,,,,,,,,,,
RCP030,,,,,,,,,,,,
RCP031,,,,,,,,,,,,
RCP032,,,,,,,,,,,,
