,RecipeName,Ingredient1ID,Ingredient1Amount,Ingredient2ID,Ingredient2Amount,Ingredient3ID,Ingredient3Amount,Ingredient4ID,Ingredient4Amount,Duration
RRCP001,BD1,REP001,1,REP002,1,REP003,1,REP004,1,60
RRCP002,BD2,REP021,1,,,,,,,60
RRCP003,EG1,REP005,2,REP006,2,REP007,1,REP008,1,60
RRCP004,EG2,REP009,1,REP010,1,REP011,1,,,60
RRCP005,ST1,REP012,3,,,,,,,60
RRCP006,ST2,REP013,1,REP014,1,,,,,60
RRCP007,RD1,REP015,1,REP005,2,REP006,2,,,60
RRCP008,RD2,REP016,1,REP017,1,,,,,60
RRCP009,AC1,REP018,1,REP020,1,,,,,60
RRCP010,AC2,REP019,1,REP005,2,REP006,2,,1,60
